date,ticker,trigger_time_et,reference_time_et,gain_pct,above_20pct_duration_min,above_10pct_duration_min,reference_price,trigger_price
2025-03-03,O:SPY250304C00594000,10:22:00,10:00:00,22.04,31,35,2.45,2.99
2025-03-03,O:SPY250304C00594000,11:21:00,10:59:00,27.06,4,6,2.55,3.24
2025-03-03,O:SPY250304C00594000,11:49:00,11:43:00,20.38,64,65,2.11,2.54
2025-03-03,O:SPY250304C00594000,13:42:00,13:38:00,20.0,1,4,1.05,1.26
2025-03-03,O:SPY250304C00594000,13:48:00,13:47:00,22.02,23,34,1.09,1.33
2025-03-03,O:SPY250304C00594000,14:31:00,14:28:00,26.79,4,6,1.12,1.42
2025-03-03,O:SPY250304C00594000,14:40:00,14:38:00,33.33,5,6,1.2,1.6
2025-03-03,O:SPY250304C00594000,15:17:00,15:12:00,22.22,1,2,0.36,0.44
2025-03-03,O:SPY250304C00594000,15:31:00,15:28:00,20.0,1,2,0.3,0.36
2025-03-03,O:SPY250304C00594000,15:46:00,15:41:00,20.0,28,29,0.25,0.3
2025-03-03,O:SPY250304P00593000,09:38:00,09:32:00,27.38,352,352,1.68,2.14
2025-03-04,O:SPY250305C00585000,09:37:00,09:33:00,20.11,3,4,1.79,2.15
2025-03-04,O:SPY250305C00585000,10:27:00,10:21:00,25.71,16,20,0.7,0.88
2025-03-04,O:SPY250305C00585000,11:11:00,11:09:00,21.57,10,12,0.51,0.62
2025-03-04,O:SPY250305C00585000,11:30:00,11:28:00,29.41,283,284,0.51,0.66
2025-03-04,O:SPY250305P00584000,09:43:00,09:38:00,24.73,2,4,6.39,7.97
2025-03-04,O:SPY250305P00584000,10:00:00,09:49:00,26.07,47,53,7.98,10.06
2025-03-04,O:SPY250305P00584000,12:53:00,12:28:00,21.23,1,2,7.16,8.68
2025-03-04,O:SPY250305P00584000,13:27:00,13:12:00,24.47,2,4,6.17,7.68
2025-03-04,O:SPY250305P00584000,14:30:00,14:23:00,23.49,4,10,4.13,5.1
2025-03-04,O:SPY250305P00584000,15:29:00,15:24:00,21.71,39,39,2.81,3.42
2025-03-05,O:SPY250306C00581000,09:40:00,09:38:00,28.21,6,9,2.73,3.5
2025-03-05,O:SPY250306C00581000,10:00:00,09:57:00,44.17,17,19,2.4,3.46
2025-03-05,O:SPY250306C00581000,10:35:00,10:30:00,22.22,8,14,2.25,2.75
2025-03-05,O:SPY250306C00581000,11:57:00,11:51:00,34.48,244,244,1.45,1.95
2025-03-05,O:SPY250306P00580000,09:49:00,09:43:00,23.55,7,11,5.18,6.4
2025-03-05,O:SPY250306P00580000,10:16:00,10:07:00,22.41,21,22,4.73,5.79
2025-03-05,O:SPY250306P00580000,11:01:00,10:58:00,20.89,37,39,5.41,6.54
2025-03-05,O:SPY250306P00580000,13:08:00,13:06:00,28.45,32,39,3.55,4.56
2025-03-05,O:SPY250306P00580000,14:18:00,14:15:00,24.29,2,3,2.1,2.61
2025-03-05,O:SPY250306P00580000,14:37:00,14:24:00,24.42,1,3,2.17,2.7
2025-03-05,O:SPY250306P00580000,14:59:00,14:57:00,20.73,1,2,1.93,2.33
2025-03-05,O:SPY250306P00580000,15:16:00,15:08:00,24.14,12,12,1.74,2.16
2025-03-05,O:SPY250306P00580000,15:32:00,15:29:00,20.73,3,7,1.93,2.33
2025-03-05,O:SPY250306P00580000,15:50:00,15:42:00,35.23,2,3,1.93,2.61
2025-03-06,O:SPY250307C00582000,09:52:00,09:44:00,21.39,1,4,2.01,2.44
2025-03-06,O:SPY250307C00582000,10:04:00,09:58:00,21.7,106,108,2.12,2.58
2025-03-06,O:SPY250307C00582000,12:58:00,12:52:00,24.32,3,12,1.48,1.84
2025-03-06,O:SPY250307C00582000,13:52:00,13:42:00,26.98,3,8,1.26,1.6
2025-03-06,O:SPY250307C00582000,14:45:00,14:27:00,21.95,14,14,1.23,1.5
2025-03-06,O:SPY250307C00582000,15:10:00,15:02:00,22.9,5,12,1.31,1.61
2025-03-06,O:SPY250307C00582000,15:29:00,15:24:00,21.77,7,11,1.24,1.51
2025-03-06,O:SPY250307C00582000,15:51:00,15:42:00,20.0,12,24,1.2,1.44
2025-03-06,O:SPY250307P00581000,10:54:00,10:40:00,26.53,5,6,5.24,6.63
2025-03-06,O:SPY250307P00581000,11:22:00,11:11:00,24.33,5,8,5.22,6.49
2025-03-06,O:SPY250307P00581000,11:39:00,11:35:00,23.64,107,107,5.71,7.06
2025-03-07,O:SPY250310C00575000,09:42:00,09:37:00,23.56,30,33,3.48,4.3
2025-03-07,O:SPY250310C00575000,10:45:00,10:41:00,20.35,23,30,2.26,2.72
2025-03-07,O:SPY250310C00575000,11:59:00,11:53:00,20.78,8,12,1.54,1.86
2025-03-07,O:SPY250310C00575000,12:24:00,12:17:00,23.49,230,231,1.66,2.05
2025-03-07,O:SPY250310P00574000,09:58:00,09:53:00,20.51,152,170,3.95,4.76
2025-03-07,O:SPY250310P00574000,14:07:00,14:02:00,26.67,5,8,3.15,3.99
2025-03-07,O:SPY250310P00574000,14:43:00,14:23:00,24.23,23,25,2.6,3.23
2025-03-07,O:SPY250310P00574000,15:15:00,15:11:00,29.23,1,3,2.6,3.36
2025-03-07,O:SPY250310P00574000,15:36:00,15:19:00,20.6,11,12,2.67,3.22
2025-03-07,O:SPY250310P00574000,16:01:00,15:55:00,24.58,12,14,2.4,2.99
